track_id,x,y
1,352.03509521484375,287.9884033203125
1,353.2065124511719,287.5791931152344
1,353.36907958984375,285.4382629394531
1,352.1850280761719,285.1791687011719
1,351.6629333496094,285.0015869140625
1,351.2220153808594,289.251953125
1,350.2687683105469,288.4136962890625
1,349.9786682128906,288.7283020019531
1,346.68646240234375,290.77874755859375
1,345.4809875488281,286.7658386230469
1,346.666748046875,293.88006591796875
1,346.23236083984375,288.2799987792969
1,307.34228515625,261.9652099609375
1,307.86248779296875,259.5567626953125
1,308.0738220214844,261.49420166015625
1,307.50543212890625,264.8863525390625
1,308.44451904296875,260.764892578125
1,308.2916259765625,260.67230224609375
1,307.64166259765625,260.8323669433594
1,306.85784912109375,259.1366271972656
1,306.27777099609375,259.7796630859375
1,307.5570373535156,255.51548767089844
1,307.21466064453125,252.85606384277344
1,307.8526306152344,248.23333740234375
1,307.33709716796875,250.27725219726562
1,306.942626953125,250.37564086914062
1,307.35870361328125,250.45233154296875
1,308.31195068359375,252.71722412109375
1,306.0745849609375,256.44598388671875
1,305.73602294921875,255.70046997070312
1,306.06072998046875,256.4295959472656
1,308.362060546875,258.11053466796875
1,309.06121826171875,256.472412109375
1,308.45257568359375,257.40008544921875
1,307.6220703125,257.08990478515625
1,308.09716796875,257.185302734375
1,308.43115234375,253.2509307861328
1,309.77008056640625,251.49176025390625
1,310.1026916503906,251.29647827148438
1,309.5984191894531,252.78053283691406
1,310.52276611328125,255.7155303955078
1,310.76947021484375,254.6396484375
1,310.5195007324219,254.0259246826172
1,311.230712890625,255.47219848632812
1,310.1410827636719,256.7979736328125
1,308.2171936035156,261.39398193359375
1,310.80511474609375,256.61419677734375
1,311.85833740234375,256.33544921875
1,311.45147705078125,265.23675537109375
1,310.9300842285156,258.3781433105469
1,310.5283203125,256.8270263671875
1,311.324951171875,260.80340576171875
1,313.12408447265625,261.5950012207031
1,313.6103515625,260.92681884765625
1,314.2991027832031,259.97216796875
1,315.3422546386719,256.04046630859375
1,316.3033142089844,250.76513671875
1,316.116455078125,258.5513916015625
1,317.89447021484375,259.19775390625
1,314.7318420410156,246.18292236328125
1,314.62371826171875,246.70156860351562
1,316.3558044433594,239.06112670898438
1,315.7157287597656,239.24505615234375
1,316.49932861328125,239.3356475830078
1,313.33642578125,240.441162109375
1,314.5351257324219,241.71585083007812
1,314.7671813964844,243.2959442138672
1,312.82916259765625,240.458740234375
1,312.9061279296875,241.08590698242188
1,312.9631042480469,240.21835327148438
1,313.2041320800781,239.58706665039062
1,313.7597961425781,240.88442993164062
1,312.82513427734375,239.5008544921875
1,312.445556640625,237.82418823242188
1,310.9117126464844,236.93014526367188
1,311.72686767578125,237.55828857421875
1,312.2798156738281,237.6890869140625
1,313.1086730957031,240.76803588867188
1,313.8399353027344,242.0906524658203
1,313.0167541503906,240.29571533203125
1,313.0128173828125,239.1888885498047
1,315.9168395996094,239.5250244140625
1,318.1644592285156,236.07760620117188
1,316.0213623046875,236.49365234375
1,315.07086181640625,243.7162628173828
1,313.0186767578125,241.64039611816406
1,311.8786315917969,241.63568115234375
1,311.32366943359375,238.8028564453125
1,311.3923034667969,241.500732421875
1,312.8514709472656,240.09228515625
1,313.0438537597656,239.78334045410156
1,313.79034423828125,241.10581970214844
1,313.148193359375,240.59019470214844
1,313.042724609375,243.09141540527344
1,315.170166015625,247.34097290039062
1,314.23858642578125,244.61407470703125
1,316.06671142578125,249.84498596191406
1,313.19775390625,242.31211853027344
1,316.517822265625,248.45574951171875
1,316.6484375,248.4451904296875
1,315.47674560546875,244.598388671875
1,314.8558654785156,243.5819091796875
1,314.40557861328125,248.92030334472656
1,312.8028259277344,247.5472412109375
1,310.8312683105469,243.6056671142578
1,310.814697265625,246.83143615722656
1,310.65191650390625,241.96197509765625
1,309.4241638183594,240.38766479492188
1,307.976806640625,236.41085815429688
1,308.67425537109375,236.22802734375
1,306.92236328125,234.49624633789062
1,304.34002685546875,231.33602905273438
1,302.49615478515625,229.6028594970703
1,301.6584167480469,230.9814453125
1,296.5337219238281,231.63046264648438
1,294.86102294921875,230.660888671875
1,293.3482666015625,229.17208862304688
1,292.53857421875,229.43783569335938
1,293.24041748046875,230.92013549804688
1,292.87030029296875,233.6326904296875
1,292.15924072265625,233.85923767089844
1,293.029296875,232.4066619873047
1,293.74945068359375,232.552001953125
1,293.9783020019531,231.33248901367188
1,293.4541015625,233.11373901367188
1,293.8270263671875,232.43203735351562
1,294.0345458984375,232.47222900390625
