track_id,x,y
1,907.569580078125,745.8817138671875
1,907.0072631835938,748.9960327148438
1,906.5494995117188,748.3271484375
1,907.3130493164062,749.5032348632812
1,907.08056640625,749.3660888671875
1,906.5656127929688,749.3666381835938
1,906.7534790039062,749.2772827148438
1,906.6992797851562,749.098876953125
1,906.962646484375,750.4568481445312
1,906.5511474609375,750.5813598632812
1,906.7596435546875,750.63330078125
1,906.8098754882812,750.3641967773438
1,906.76904296875,749.6026611328125
1,906.80322265625,749.4720458984375
1,907.22021484375,749.8621215820312
1,907.339111328125,750.191162109375
1,908.2318115234375,750.1126708984375
1,907.786376953125,749.5550537109375
1,908.0347900390625,749.8282470703125
1,907.8665771484375,750.072021484375
1,907.6096801757812,749.9800415039062
1,907.1863403320312,749.978759765625
1,907.5736083984375,750.2653198242188
1,907.72900390625,750.1201171875
1,907.6903076171875,750.2608642578125
1,907.5499877929688,749.7002563476562
1,907.7161865234375,751.16015625
1,907.5179443359375,751.6263427734375
1,907.682373046875,751.758544921875
1,907.576171875,751.6563720703125
1,907.66845703125,751.5631713867188
1,907.9027099609375,751.0032348632812
1,908.6258544921875,750.3575439453125
1,909.072998046875,750.5670166015625
1,909.07275390625,750.5846557617188
1,909.1571044921875,750.5491943359375
1,908.8068237304688,750.7747802734375
1,908.795166015625,750.7821044921875
1,908.778076171875,750.3282470703125
1,908.818359375,750.4660034179688
1,908.9057006835938,750.46337890625
1,909.046875,750.9369506835938
1,908.6734619140625,750.3751831054688
1,908.9683837890625,749.8375854492188
1,909.1240234375,750.5625
1,909.0682373046875,750.8710327148438
1,908.4683837890625,750.2491455078125
1,908.46533203125,750.2671508789062
1,908.8575439453125,750.7421264648438
1,908.84814453125,750.3909912109375
1,906.5839233398438,758.1132202148438
1,906.741943359375,758.1298828125
1,906.2801513671875,758.83544921875
1,905.85546875,758.63232421875
1,905.83251953125,758.5519409179688
1,905.9627685546875,758.5277709960938
1,906.0320434570312,759.07470703125
1,906.1939697265625,758.9192504882812
1,905.5947265625,758.0809936523438
1,905.3548583984375,758.2802734375
1,905.949462890625,758.829345703125
1,906.1146240234375,758.2816162109375
1,906.0806884765625,757.7305908203125
1,905.7149658203125,757.8724365234375
1,905.8016357421875,757.7828979492188
1,905.58447265625,757.3948974609375
1,905.5150146484375,757.641357421875
1,905.61865234375,757.7822265625
1,905.1897583007812,757.5910034179688
1,905.193603515625,757.4534912109375
1,905.5808715820312,758.115966796875
1,905.69775390625,758.117431640625
1,905.376708984375,758.2915649414062
1,905.82080078125,759.1327514648438
1,905.8267822265625,758.2838745117188
1,905.8485107421875,758.6867065429688
1,905.8170166015625,758.6870727539062
1,905.832275390625,758.53564453125
1,906.0557861328125,759.191162109375
1,905.8980102539062,759.1111450195312
1,906.0327758789062,759.0265502929688
1,906.4219970703125,758.9701538085938
1,906.1754150390625,757.9978637695312
1,905.8438110351562,757.7239379882812
1,905.8612060546875,757.8070678710938
1,905.9127197265625,757.9945678710938
1,905.9940185546875,758.1004028320312
