Number,Coordinate
1,"(1561, 937)"
2,"(859, 353)"
3,"(876, 326)"
4,"(1327, 469)"
5,"(1404, 446)"
6,"(1453, 363)"
7,"(1524, 385)"
8,"(1525, 542)"
9,"(1680, 604)"
10,"(1682, 777)"
