Number,Coordinate
1,"(582, 939)"
2,"(603, 874)"
3,"(655, 812)"
4,"(876, 636)"
5,"(1341, 669)"
6,"(1430, 796)"
7,"(1503, 869)"
8,"(1673, 879)"
9,"(1682, 944)"
