Number,Birdseye,Camera
1,"(1923, 942)","(1858, 748)"
2,"(1992, 941)","(1726, 648)"
3,"(2013, 893)","(1571, 692)"
4,"(2016, 873)","(1503, 735)"
5,"(2080, 871)","(1379, 632)"
6,"(2148, 805)","(1060, 630)"
7,"(2131, 793)","(1041, 669)"
8,"(2163, 792)","(1000, 624)"
9,"(2103, 779)","(1013, 743)"
10,"(2084, 768)","(987, 791)"
11,"(2100, 756)","(922, 784)"
12,"(2118, 767)","(947, 734)"
13,"(2122, 739)","(825, 768)"
14,"(2147, 761)","(993, 561)"
15,"(2158, 709)","(683, 746)"
16,"(2177, 720)","(717, 707)"
17,"(2172, 698)","(637, 739)"
18,"(2206, 734)","(755, 644)"
19,"(2275, 680)","(558, 625)"
20,"(2222, 700)","(709, 549)"
21,"(2102, 1024)","(1688, 432)"
22,"(2070, 1054)","(1779, 438)"
23,"(2144, 1050)","(1667, 388)"
24,"(2092, 1016)","(1690, 453)"
25,"(2058, 1051)","(1792, 451)"
26,"(2151, 1039)","(1643, 389)"
27,"(2165, 1058)","(1652, 370)"
28,"(2651, 937)","(1021, 219)"
29,"(2701, 938)","(1003, 206)"
30,"(2698, 904)","(947, 220)"
31,"(2647, 903)","(965, 234)"
32,"(2635, 841)","(861, 270)"
33,"(2681, 840)","(847, 254)"
34,"(2631, 810)","(802, 285)"
35,"(2608, 828)","(841, 284)"
36,"(2573, 853)","(903, 284)"
37,"(2576, 879)","(954, 268)"
38,"(2615, 880)","(938, 253)"
39,"(2611, 854)","(892, 270)"
40,"(2619, 908)","(987, 241)"
41,"(2581, 908)","(1003, 252)"
42,"(2541, 906)","(1020, 266)"
43,"(2502, 905)","(1041, 280)"
44,"(2514, 1019)","(1237, 224)"
45,"(2512, 989)","(1193, 236)"
46,"(2430, 931)","(1140, 295)"
47,"(2465, 931)","(1118, 281)"
48,"(2468, 960)","(1171, 264)"
49,"(2509, 961)","(1145, 251)"
50,"(2585, 935)","(1051, 239)"
51,"(2370, 564)","(264, 640)"
52,"(2335, 564)","(252, 676)"
53,"(2390, 580)","(304, 602)"
54,"(2338, 578)","(283, 653)"
55,"(2341, 631)","(425, 599)"
56,"(2334, 624)","(399, 613)"
57,"(2306, 609)","(357, 658)"
58,"(2287, 628)","(404, 664)"
59,"(2353, 1142)","(1549, 246)"
60,"(2409, 1205)","(1568, 208)"
61,"(2494, 1717)","(1850, 129)"
62,"(2379, 1593)","(1848, 159)"
63,"(2760, 731)","(819, 36)"
64,"(2756, 721)","(810, 36)"
65,"(2763, 746)","(866, 23)"
66,"(2409, 675)","(538, 497)"
67,"(2412, 722)","(659, 454)"
68,"(2446, 722)","(656, 434)"
69,"(2444, 699)","(597, 454)"
70,"(2478, 676)","(542, 448)"
71,"(2515, 700)","(598, 407)"
72,"(2551, 677)","(545, 406)"
73,"(2436, 628)","(430, 516)"
74,"(2473, 630)","(433, 492)"
75,"(2474, 652)","(489, 471)"
76,"(2438, 653)","(483, 496)"
77,"(2485, 750)","(709, 390)"
78,"(2559, 750)","(697, 353)"
79,"(2488, 776)","(766, 370)"
80,"(2453, 800)","(834, 371)"
81,"(2418, 797)","(846, 390)"
82,"(2416, 772)","(784, 411)"
83,"(2451, 772)","(801, 316)"
84,"(2566, 800)","(742, 318)"
85,"(3105, 1212)","(1171, 95)"
86,"(3099, 1200)","(1162, 91)"
87,"(3061, 1197)","(1134, 98)"
88,"(3095, 768)","(799, 20)"
