Number,Coordinate
1,"(1798, 951)"
2,"(2098, 1141)"
3,"(2153, 1120)"
4,"(2227, 1120)"
5,"(2288, 1117)"
6,"(2346, 1087)"
7,"(2399, 1055)"
8,"(2434, 1045)"
9,"(2434, 904)"
10,"(2416, 892)"
11,"(2393, 639)"
12,"(2178, 825)"
13,"(2055, 763)"
