Number,Coordinate
1,"(1922, 1510)"
2,"(1060, 1531)"
3,"(1050, 1470)"
4,"(1059, 1409)"
5,"(1079, 1353)"
6,"(1110, 1308)"
7,"(1147, 1269)"
8,"(1184, 1232)"
9,"(1228, 1200)"
10,"(1274, 1164)"
11,"(1323, 1142)"
12,"(1390, 1114)"
13,"(1452, 1095)"
14,"(1519, 1086)"
15,"(1570, 1082)"
16,"(1615, 1084)"
17,"(1663, 1091)"
18,"(1700, 1096)"
19,"(1907, 1247)"
20,"(1894, 1285)"
21,"(1890, 1313)"
22,"(1909, 1351)"
23,"(1929, 1383)"
24,"(1919, 1443)"
25,"(1916, 1470)"
