Number,Birdseye,Camera
1,"(1561, 1463)","(456, 599)"
2,"(1574, 1372)","(498, 587)"
3,"(1484, 1339)","(469, 559)"
4,"(1470, 1430)","(426, 564)"
5,"(1450, 1431)","(416, 558)"
6,"(1347, 1431)","(382, 556)"
7,"(1437, 1370)","(415, 504)"
8,"(1325, 1366)","(377, 502)"
9,"(2047, 1354)","(707, 615)"
10,"(2019, 1418)","(669, 626)"
11,"(2122, 993)","(863, 542)"
12,"(2164, 981)","(881, 526)"
13,"(2125, 949)","(862, 507)"
14,"(2082, 961)","(848, 522)"
15,"(1243, 2098)","(120, 643)"
16,"(1283, 2174)","(101, 654)"
17,"(1200, 2189)","(70, 621)"
18,"(1163, 2114)","(90, 611)"
19,"(2479, 1729)","(798, 710)"
20,"(2751, 1723)","(995, 734)"
21,"(2480, 1630)","(844, 689)"
22,"(2529, 1629)","(874, 693)"
23,"(2577, 1629)","(909, 696)"
24,"(2591, 1714)","(880, 718)"
25,"(2540, 1714)","(841, 713)"
26,"(2648, 1507)","(1000, 676)"
27,"(2560, 1547)","(934, 679)"
28,"(2504, 1852)","(755, 741)"
29,"(2603, 1856)","(825, 753)"
30,"(2548, 1805)","(811, 731)"
31,"(2390, 1673)","(764, 690)"
32,"(2439, 1672)","(799, 695)"
33,"(2428, 1590)","(823, 678)"
34,"(2380, 1591)","(796, 673)"
35,"(2346, 1717)","(716, 697)"
36,"(2342, 1675)","(735, 686)"
37,"(2288, 1633)","(719, 675)"
38,"(2240, 1633)","(693, 670)"
39,"(2247, 1718)","(660, 687)"
40,"(2298, 1717)","(693, 690)"
41,"(2145, 1635)","(642, 662)"
42,"(2140, 1553)","(673, 649)"
43,"(2047, 1636)","(592, 656)"
44,"(2000, 1679)","(551, 659)"
45,"(2051, 1720)","(554, 670)"
46,"(2098, 1677)","(599, 666)"
